emotion,input_text,target_text
Sadness,"Do you see yourself as the victim, blaming someone else for how negative you feel?","I see, thank you. Do you consider yourself to be someone else's victim?"
Anger,Are you always blaming and accusing yourself for when something goes wrong?,"Do you feel that, deep inside, you are always accusing and blaming yourself harshly for any bad things that happen?"
Fear,Do you believe that you should be the saviour of someone else?,"I'm sorry to hear you're feeling anxious, and I'd like to try and find out why you're feeling this way. Do you have the feeling that you may be putting other people before yourself most of the time?"
Anger,Have you strongly felt or expressed any of the following emotions towards someone:,Have you truly felt or acted upon any of the following emotions towards another human being:
Sadness,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,That is unfortunate. Have you given Protocol 6 a try and did it spark the same difficult emotions you felt toward this event?
Fear,"In previous conversations, have you considered other viewpoints presented?","Thank you. Thinking back to other conversations you've had, do you think that you fully listened to and considered other people's point of view?"
Anger,Thank you. Now I will ask some questions to understand your situation.,"I would like to get some more information now, to better help you."
Fear,Do you feel that you are trying to control someone?,"Sometimes we wish we could be there 24/7 for someone, but that could also turn into unintentional controlling behaviour. Do you think you may have displayed controlling behaviour toward someone, or tried to take over some aspect of their life?"
Sadness,Are you always blaming and accusing yourself for when something goes wrong?,"When something goes wrong, do you always give yourself the blame?"
Anger,Are you always blaming and accusing yourself for when something goes wrong?,Do you always feel you could have done more or differently when something goes wrong?
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Is there someone to blame for how you're feeling?
Sadness,Thank you. Now I will ask some questions to understand your situation.,"Thank you, I appreciate that. I'm going to try and get to the bottom of this by asking you some more questions."
Fear,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"I wonder if there are also other factors that are contributing to this anxious feeling. Are you having a more stressful time than usual in your personal life (for example, a problem with loved ones or friends)?"
Fear,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Are you going through any personal trauma in your life?
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"I can see why you may be feeling anxious. Do you think attempting Protocol 6 recently, if you have, could have reignited these unmanageable emotions?"
